contract_number,client_account,S3_full_path,file_name,doc_type,S3_vectors,OpenSearch
70428,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/70428/Dynamics_-_70428_signed.pdf,Dynamics_-_70428_signed.pdf,SOW,True,--
71254,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/71254/1199SEIU National Benefit Funds - Cotiviti - Security Addendum Exhibit - JK - 07242023 - Dynamics_71254.pdf,1199SEIU National Benefit Funds - Cotiviti - Security Addendum Exhibit - JK - 07242023 - Dynamics_71254.pdf,Security Addendum/Exhibit,True,--
71254,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/71254/4310 Cotiviti Inc. Data Security Agreement Vendor Cotiviti Acceptance 6-21-23.docx,4310 Cotiviti Inc. Data Security Agreement Vendor Cotiviti Acceptance 6-21-23.docx,Security Addendum/Exhibit,True,--
71254,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/71254/Dynamics_71254_signed.pdf,Dynamics_71254_signed.pdf,Security Addendum/Exhibit,True,--
71254,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/71254/SEIU Security Addendum redline 5-25-23.docx,SEIU Security Addendum redline 5-25-23.docx,Security Addendum/Exhibit,True,--
71254,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/71254/SEIU Security Addendum redline 6-2-23.docx,SEIU Security Addendum redline 6-2-23.docx,Security Addendum/Exhibit,True,--
71254,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/71254/SEIU Security Agreement redline 3-7-23.doc,SEIU Security Agreement redline 3-7-23.doc,Security Addendum/Exhibit,True,--
71747,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/71747/Dynamics_71747_signed.pdf,Dynamics_71747_signed.pdf,Amendment,True,--
71747,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/71747/SEIU National Benefit Fund - Cotiviti - Amd 03 to SOW A2 - TE - 05312023 -  Dynamics_71747.pdf,SEIU National Benefit Fund - Cotiviti - Amd 03 to SOW A2 - TE - 05312023 -  Dynamics_71747.pdf,Amendment,True,--
72005,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/72005/Dynamics_-_72005_signed.pdf,Dynamics_-_72005_signed.pdf,Amendment,True,--
72005,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/72005/Dynamics_72005_signed.pdf,Dynamics_72005_signed.pdf,Amendment,True,--
72005,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/72005/SEIU - Cotiviti - Amendment 01 - MS - 08292023 - Dynamics_72005.pdf,SEIU - Cotiviti - Amendment 01 - MS - 08292023 - Dynamics_72005.pdf,Amendment,True,--
71818,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/71818/1199SEIU National Benefit Fund - Cotiviti - AMD2 - TE - 01052023 - Dynamics_71818.pdf,1199SEIU National Benefit Fund - Cotiviti - AMD2 - TE - 01052023 - Dynamics_71818.pdf,Amendment,True,--
71818,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/71818/Dynamics_71818_signed.pdf,Dynamics_71818_signed.pdf,Amendment,True,--
70657,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/70657/1199SEIU NBF - Cotiviti - WO - TE - 02012023 - Dynamics_70657.pdf,1199SEIU NBF - Cotiviti - WO - TE - 02012023 - Dynamics_70657.pdf,Work Order / Change Request,True,--
70657,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/70657/Dynamics_-_70657_signed.pdf,Dynamics_-_70657_signed.pdf,Work Order / Change Request,True,--
61241,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/61241/1199 SEIU National Benefit Funds - Cotiviti - Work Order - AS - 10052021 - Dynamics_61241.pdf,1199 SEIU National Benefit Funds - Cotiviti - Work Order - AS - 10052021 - Dynamics_61241.pdf,Work Order / Change Request,True,--
61241,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/61241/Dynamics_-_61241_signed.pdf,Dynamics_-_61241_signed.pdf,Work Order / Change Request,True,--
61772,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/61772/1199SEIU FWA Extension AMD#3 4-26-21.doc,1199SEIU FWA Extension AMD#3 4-26-21.doc,Amendment,True,--
61772,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/61772/1199SEIU National Benefit Fund - Cotiviti - Amendment 3 - JK - 06302021 - Dynamics_61772.pdf,1199SEIU National Benefit Fund - Cotiviti - Amendment 3 - JK - 06302021 - Dynamics_61772.pdf,Amendment,True,--
61772,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/61772/Dynamics_61772__Please_review_and_sign_your_d_signed.pdf,Dynamics_61772__Please_review_and_sign_your_d_signed.pdf,Amendment,True,--
61772,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/61772/SEIU FWA Extension AMD#3 5-24-21.docx,SEIU FWA Extension AMD#3 5-24-21.docx,Amendment,True,--
61772,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/61772/SEIU FWA Extension AMD#3 6-3-21.docx,SEIU FWA Extension AMD#3 6-3-21.docx,Amendment,True,--
61772,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/61772/SEIU FWA Extension AMD#3 clean 6-14-21.docx,SEIU FWA Extension AMD#3 clean 6-14-21.docx,Amendment,True,--
61772,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/61772/SEIU FWA Extension AMD#3 clean 6-29-21.docx,SEIU FWA Extension AMD#3 clean 6-29-21.docx,Amendment,True,--
59036,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/59036/1199SIU - Cotiviti - work order - DS - 06032020 - Dynamics_59036_.pdf,1199SIU - Cotiviti - work order - DS - 06032020 - Dynamics_59036_.pdf,Work Order / Change Request,True,--
59036,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/59036/Cotiviti Work Order.docx,Cotiviti Work Order.docx,Work Order / Change Request,True,--
59036,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/59036/DXCG Extract -- Partially Executed.pdf,DXCG Extract -- Partially Executed.pdf,Work Order / Change Request,True,--
59036,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/59036/Dynamics_59036__Please_review_and_sign_your_d_signed.pdf,Dynamics_59036__Please_review_and_sign_your_d_signed.pdf,Work Order / Change Request,True,--
59036,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/59036/RE_ _JIRA2_ (VHAPHPR-563) 1199 HEDIS quality reports for CY 2018.msg,RE_ _JIRA2_ (VHAPHPR-563) 1199 HEDIS quality reports for CY 2018.msg,Work Order / Change Request,True,--
59036,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/59036/___ DXCG Extract -- Partially Executed_pdf - Adobe Acrobat Professional.msg,___ DXCG Extract -- Partially Executed_pdf - Adobe Acrobat Professional.msg,Work Order / Change Request,True,--
58475,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58475/1199 - Cotiviti - amnd1 - DS - 04132020 - DYnamics 58457.pdf,1199 - Cotiviti - amnd1 - DS - 04132020 - DYnamics 58457.pdf,Amendment,True,--
58475,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58475/1199 SEIU SOW PI Amendment 1.6.20.docx,1199 SEIU SOW PI Amendment 1.6.20.docx,Amendment,True,--
58475,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58475/Cotiviti SOW PI Amendment final clean.docx,Cotiviti SOW PI Amendment final clean.docx,Amendment,True,--
58475,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58475/Dynamics_58475_Please_review_and_sign_your_do_signed.pdf,Dynamics_58475_Please_review_and_sign_your_do_signed.pdf,Amendment,True,--
58475,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58475/Executed 1199 SOW A2 PI Application_April_2020.pdf,Executed 1199 SOW A2 PI Application_April_2020.pdf,Amendment,True,--
58475,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58475/PI Amendment.msg,PI Amendment.msg,Amendment,True,--
58475,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58475/RE_ PI Amendment.msg,RE_ PI Amendment.msg,Amendment,True,--
58332,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58332/1199 - Cotiviti - wo extract - DS - 01242020- Dynamics_58332.pdf,1199 - Cotiviti - wo extract - DS - 01242020- Dynamics_58332.pdf,Work Order / Change Request,True,--
58332,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58332/1199 - Custom Hedis Extract .msg,1199 - Custom Hedis Extract .msg,Work Order / Change Request,True,--
58332,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58332/1199 signed FW_ Emailing_ Cotiviti Work Order 01_21.msg,1199 signed FW_ Emailing_ Cotiviti Work Order 01_21.msg,Work Order / Change Request,True,--
58332,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58332/Cotiviti Work Order 01_21.pdf,Cotiviti Work Order 01_21.pdf,Work Order / Change Request,True,--
58332,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58332/Cotiviti Work Order.docx,Cotiviti Work Order.docx,Work Order / Change Request,True,--
58332,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58332/Dynamics_58332__Please_review_and_sign_your_d_signed.pdf,Dynamics_58332__Please_review_and_sign_your_d_signed.pdf,Work Order / Change Request,True,--
58332,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/58332/RE_ Assistance with HEDIS data for reporting.msg,RE_ Assistance with HEDIS data for reporting.msg,Work Order / Change Request,True,--
52910,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52910/1199 - Cotiviti - ASP add on amdn2 to MSA - SEL - 100518 - Executed DX 52910.pdf,1199 - Cotiviti - ASP add on amdn2 to MSA - SEL - 100518 - Executed DX 52910.pdf,Amendment,True,--
52910,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52910/1199 ASP Upsell Financial Summary.xlsx,1199 ASP Upsell Financial Summary.xlsx,Amendment,--,--
52910,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52910/1199 MSLA STARSSol Amend2 09-05-18 SEL.doc,1199 MSLA STARSSol Amend2 09-05-18 SEL.doc,Amendment,True,--
52910,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52910/1199 MSLA STARSSol Amend2 09-10-18 SEL.doc,1199 MSLA STARSSol Amend2 09-10-18 SEL.doc,Amendment,True,--
52910,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52910/1199 MSLA STARSSol Amend2 7-27-18 SEL.doc,1199 MSLA STARSSol Amend2 7-27-18 SEL.doc,Amendment,True,--
52910,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52910/1199 MSLA STARSSol Amend2 7-28-18.doc,1199 MSLA STARSSol Amend2 7-28-18.doc,Amendment,True,--
52910,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52910/Approval from Carl Hauck - Operations 9-6-18.pdf,Approval from Carl Hauck - Operations 9-6-18.pdf,Amendment,True,--
52910,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52910/Verscend (General Dynamic GDIT) MSLA STARSSol Amend2 to add Hosting service 7-30-18 (002).DOC,Verscend (General Dynamic GDIT) MSLA STARSSol Amend2 to add Hosting service 7-30-18 (002).DOC,Amendment,True,--
52910,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52910/Verscend 1199 Amend2 to MLSA sgn by 1199 10-1-18.pdf,Verscend 1199 Amend2 to MLSA sgn by 1199 10-1-18.pdf,Amendment,True,--
52910,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52910/Verscend 1199 Amend2 to MLSA sgn by 1199 10-1-18_signed.pdf,Verscend 1199 Amend2 to MLSA sgn by 1199 10-1-18_signed.pdf,Amendment,True,--
53796,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/53796/GDIT Contract Cancellation Letter 2 for McSource.PDF,GDIT Contract Cancellation Letter 2 for McSource.PDF,Termination,True,--
53796,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/53796/Termination Notice  1199 SEIU Benefit & Pension Fund.msg,Termination Notice  1199 SEIU Benefit & Pension Fund.msg,Termination,True,--
54646,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/54646/1199 - Cotiviti - ASP add on amdn2 to MSA - SEL - 100518 - Executed DX 52910 (2).pdf,1199 - Cotiviti - ASP add on amdn2 to MSA - SEL - 100518 - Executed DX 52910 (2).pdf,Amendment,True,--
52533,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52533/1199 - SOW - SSOL.pdf,1199 - SOW - SSOL.pdf,SOW,True,--
52376,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52376/1199 MSLA-SSOL - 12-22-17.pdf,1199 MSLA-SSOL - 12-22-17.pdf,MSA,True,--
52202,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52202/1199 BAA (Final Rule) 9-22-14.pdf,1199 BAA (Final Rule) 9-22-14.pdf,BAA,True,--
78808,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/78808/RE Question Regarding 1199SEIU Benefit and Pension Funds - Level 2 Opportunity Analysis for Payment Policy Management and Coding Validation .msg,RE Question Regarding 1199SEIU Benefit and Pension Funds - Level 2 Opportunity Analysis for Payment Policy Management and Coding Validation .msg,SOW,True,--
78808,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/78808/SEIU OA SOW 4-1-25.docx,SEIU OA SOW 4-1-25.docx,SOW,True,--
80119,12556456 Canada Inc.,s3://ml-legal-restricted/contract-docs/80119/12556456_Canada_Inc_Consulting_Services__Forth_Amendment_12102021_fully executed.pdf,12556456_Canada_Inc_Consulting_Services__Forth_Amendment_12102021_fully executed.pdf,Amendment,True,--
80118,12556456 Canada Inc.,s3://ml-legal-restricted/contract-docs/80118/12556456_Canada_Inc_Consulting_Services__Third_Amendment_10202021_fully executed.pdf,12556456_Canada_Inc_Consulting_Services__Third_Amendment_10202021_fully executed.pdf,Amendment,True,--
80120,12556456 Canada Inc.,s3://ml-legal-restricted/contract-docs/80120/12556456 Canada Inc_Consulting Services_Second Amendment_07262021_fully executed.pdf,12556456 Canada Inc_Consulting Services_Second Amendment_07262021_fully executed.pdf,Amendment,True,--
80117,12556456 Canada Inc.,s3://ml-legal-restricted/contract-docs/80117/12556456_Canada_Inc_Consulting_Services_Amendment_05132021_fully executed.pdf,12556456_Canada_Inc_Consulting_Services_Amendment_05132021_fully executed.pdf,Amendment,True,--
80116,12556456 Canada Inc.,s3://ml-legal-restricted/contract-docs/80116/MaheshKamat_Services Agmt_Consulting Services_01222021_fully executed (1).pdf,MaheshKamat_Services Agmt_Consulting Services_01222021_fully executed (1).pdf,Consulting Agreement,True,--
80235,15762669 Canada Inc.,s3://ml-legal-restricted/contract-docs/80235/15762669 Canada Inc (Shruti Shruti)_Amend 3 to Independent Contractor Agree_FE 06March2025.pdf,15762669 Canada Inc (Shruti Shruti)_Amend 3 to Independent Contractor Agree_FE 06March2025.pdf,Amendment,True,--
80236,15762669 Canada Inc.,s3://ml-legal-restricted/contract-docs/80236/Amendment 2 ( ext)  to 15762669 Canada Inc (Shruti Shruti) IC_11062024 signed.pdf,Amendment 2 ( ext)  to 15762669 Canada Inc (Shruti Shruti) IC_11062024 signed.pdf,Amendment,True,--
80234,15762669 Canada Inc.,s3://ml-legal-restricted/contract-docs/80234/Shruti Bansal_IC Agreement Template_Fully Executed_15March2024.docx.pdf,Shruti Bansal_IC Agreement Template_Fully Executed_15March2024.docx.pdf,SOW,True,--
80175,180 Racing LLC,s3://ml-legal-restricted/contract-docs/80175/180 Racing_Service Contract_05282014_fully executed.pdf,180 Racing_Service Contract_05282014_fully executed.pdf,Other,True,--
80178,1Password,s3://ml-legal-restricted/contract-docs/80178/1Password Order Form Q-138658 Fully Executed 20Sept2024.pdf,1Password Order Form Q-138658 Fully Executed 20Sept2024.pdf,Quote,True,--
80177,1Password,s3://ml-legal-restricted/contract-docs/80177/1Password Order Form Q-138658 Fully Executed 20Sept2024.pdf,1Password Order Form Q-138658 Fully Executed 20Sept2024.pdf,Quote,True,--
80179,1Password,s3://ml-legal-restricted/contract-docs/80179/1Password_Order Form_Q-111512_60 licenses_06242024_final.pdf,1Password_Order Form_Q-111512_60 licenses_06242024_final.pdf,Quote,True,--
80180,1Password,s3://ml-legal-restricted/contract-docs/80180/Agilebites_Order_Form_fully executed_11jan2024.docx.pdf,Agilebites_Order_Form_fully executed_11jan2024.docx.pdf,Quote,True,--
80181,1Password,s3://ml-legal-restricted/contract-docs/80181/Agilebits_DPA_fully executed_11jan2024.docx.pdf,Agilebits_DPA_fully executed_11jan2024.docx.pdf,Addendum,True,--
80176,1Password,s3://ml-legal-restricted/contract-docs/80176/1Password Service Agreement_fully executed_11jan2024.docx.pdf,1Password Service Agreement_fully executed_11jan2024.docx.pdf,MSA,True,--
67392,24slides,s3://ml-legal-restricted/contract-docs/67392/Dynamics_-_67392_signed.pdf,Dynamics_-_67392_signed.pdf,NDA,True,--
76594,24x7 Translines,s3://ml-legal-restricted/contract-docs/76594/Q - 24-7 - Translines (Oct 14 2019).pdf,Q - 24-7 - Translines (Oct 14 2019).pdf,Quote,True,--
76595,24x7 Translines,s3://ml-legal-restricted/contract-docs/76595/SA - 24-7 - Translines (Oct 14 2019).pdf,SA - 24-7 - Translines (Oct 14 2019).pdf,MSA,True,--
80182,2Win!,s3://ml-legal-restricted/contract-docs/80182/2Win _Virtual Essntials SOW and Services Agreement April 18 2023_Fully executed.pdf,2Win _Virtual Essntials SOW and Services Agreement April 18 2023_Fully executed.pdf,SOW,True,--
80183,30 North Group,s3://ml-legal-restricted/contract-docs/80183/30North Group_NDA A Garg 9Mar23[43841]_fully executed.pdf,30North Group_NDA A Garg 9Mar23[43841]_fully executed.pdf,NDA,True,--
80701,"375 Riverside Parkway B LLC (fka 375 Riverside Pkwy LLC ""Centersquare""",s3://ml-legal-restricted/contract-docs/80701/Notice of Non-Renewal - Lithia Springs Site 85488 - 06.28.2025.pdf,Notice of Non-Renewal - Lithia Springs Site 85488 - 06.28.2025.pdf,Other,True,--
80599,"375 Riverside Parkway B LLC (fka 375 Riverside Pkwy LLC ""Centersquare""",s3://ml-legal-restricted/contract-docs/80599/Evoque_Link MSA_02152021.pdf,Evoque_Link MSA_02152021.pdf,MSA,True,--
76438,3M Australia Pty Ltd,s3://ml-legal-restricted/contract-docs/76438/3M License Agreement_Lorica Health_Codefinder_GPCS_ 29th March 2023 to 28th March 2026_Final.pdf,3M License Agreement_Lorica Health_Codefinder_GPCS_ 29th March 2023 to 28th March 2026_Final.pdf,MSA,--,--
76440,3M Australia Pty Ltd,s3://ml-legal-restricted/contract-docs/76440/LORICA HEALTH CODEFINDER & GROUPER 29 DEC 2020 TO 28 JAN 2023 CONTRACT.pdf,LORICA HEALTH CODEFINDER & GROUPER 29 DEC 2020 TO 28 JAN 2023 CONTRACT.pdf,Letter,True,--
76439,3M Australia Pty Ltd,s3://ml-legal-restricted/contract-docs/76439/Extension of Contract Letter_Codefinder & GPCS_Lorica Health_Oct-Dec 2022_signed.pdf,Extension of Contract Letter_Codefinder & GPCS_Lorica Health_Oct-Dec 2022_signed.pdf,Letter,True,--
76437,3M Australia Pty Ltd,s3://ml-legal-restricted/contract-docs/76437/LORICA HEALTH CODEFINDER & GROUPER 29 SEP 2020 TO 28 SEP 2022 CONTRACT.pdf,LORICA HEALTH CODEFINDER & GROUPER 29 SEP 2020 TO 28 SEP 2022 CONTRACT.pdf,MSA,True,--
60591,3M Company,s3://ml-legal-restricted/contract-docs/60591/CTR55948-20 S9A-1a1 AddOn 56178 v1 10.6.2020 MJG.pdf,CTR55948-20 S9A-1a1 AddOn 56178 v1 10.6.2020 MJG.pdf,Amendment,True,--
61807,3M Company,s3://ml-legal-restricted/contract-docs/61807/BAA to Master Software and Service Agreement (Exhibit A).pdf,BAA to Master Software and Service Agreement (Exhibit A).pdf,BAA,--,--
60590,3M Company,s3://ml-legal-restricted/contract-docs/60590/Coviti_CTR55948-20_NEW_3_Year_v6_MJG_9.8.2020_EK.pdf,Coviti_CTR55948-20_NEW_3_Year_v6_MJG_9.8.2020_EK.pdf,MSA,--,--
61808,3M Company,s3://ml-legal-restricted/contract-docs/61808/BAA to Data Processing License Agreement (Exhibit 4).pdf,BAA to Data Processing License Agreement (Exhibit 4).pdf,BAA,True,--
61782,3M Company,s3://ml-legal-restricted/contract-docs/61782/BAA to the Software License Agreement (Exhibit C).pdf,BAA to the Software License Agreement (Exhibit C).pdf,BAA,True,--
57290,3M Company,s3://ml-legal-restricted/contract-docs/57290/3M - Contract (June 2009).pdf,3M - Contract (June 2009).pdf,MSA,True,--
57290,3M Company,s3://ml-legal-restricted/contract-docs/57290/3M-Cotiviti-Software License Agreement-SC-57290-08.30.2009.pdf,3M-Cotiviti-Software License Agreement-SC-57290-08.30.2009.pdf,MSA,True,--
69848,3M Company,s3://ml-legal-restricted/contract-docs/69848/3M AU 3P linking AU to US results.pdf,3M AU 3P linking AU to US results.pdf,License Agreement,True,--
69848,3M Company,s3://ml-legal-restricted/contract-docs/69848/3M License Agreement_Lorica Health_Codefinder_GPCS_ 29th September 2022 TO 28th September 2024 with no data storage clause.pdf,3M License Agreement_Lorica Health_Codefinder_GPCS_ 29th September 2022 TO 28th September 2024 with no data storage clause.pdf,License Agreement,True,--
69848,3M Company,s3://ml-legal-restricted/contract-docs/69848/_CPIG FINAL REPORT for 3M Health Information Systems (R-01081) - Jun 2022 (19-Sep-22).pdf,_CPIG FINAL REPORT for 3M Health Information Systems (R-01081) - Jun 2022 (19-Sep-22).pdf,License Agreement,True,--
69848,3M Company,s3://ml-legal-restricted/contract-docs/69848/_Security FINAL REPORT for 3M Health Information Systems (R-01081) - Jun 2022 (19-Sep-22).pdf,_Security FINAL REPORT for 3M Health Information Systems (R-01081) - Jun 2022 (19-Sep-22).pdf,License Agreement,True,--
79736,"3M Health Information System, Inc.",s3://ml-legal-restricted/contract-docs/79736/3M_56776-22 Edifecs New BPA_6.0.0 2023-01-26_Fully Executed.pdf,3M_56776-22 Edifecs New BPA_6.0.0 2023-01-26_Fully Executed.pdf,License Agreement,True,--
76555,"3M Health Information System, Inc.",s3://ml-legal-restricted/contract-docs/76555/RDPA56183-20 New 3yr. GPCS.Trans v.6 SIGNED.pdf,RDPA56183-20 New 3yr. GPCS.Trans v.6 SIGNED.pdf,MSA,True,--
76554,"3M Health Information System, Inc.",s3://ml-legal-restricted/contract-docs/76554/NEGO BPA55989-20 New 3yr. GPCS v.5 FINAL.pdf,NEGO BPA55989-20 New 3yr. GPCS v.5 FINAL.pdf,MSA,True,--
79740,"3M Health Information System, Inc.",s3://ml-legal-restricted/contract-docs/79740/3M_Amendment 2 to VAR_08222016_Fully executed.pdf,3M_Amendment 2 to VAR_08222016_Fully executed.pdf,Amendment,True,--
79738,"3M Health Information System, Inc.",s3://ml-legal-restricted/contract-docs/79738/3M_Amendment 1 to VAR_09162014_fully executed.pdf,3M_Amendment 1 to VAR_09162014_fully executed.pdf,Amendment,True,--
79737,"3M Health Information System, Inc.",s3://ml-legal-restricted/contract-docs/79737/3M_VAR Agmt and BAA_08232013_fully executed.pdf,3M_VAR Agmt and BAA_08232013_fully executed.pdf,Reseller Agreement,True,--
79741,"3M Health Information System, Inc.","s3://ml-legal-restricted/contract-docs/79741/Edifecs, Inc CDA 2004.pdf","Edifecs, Inc CDA 2004.pdf",NDA,True,--
79685,3Tech Innovation Master Corp,s3://ml-legal-restricted/contract-docs/79685/3Tech - Cotiviti - Quote - AR - 05292025 - Dynamics_79685.pdf,3Tech - Cotiviti - Quote - AR - 05292025 - Dynamics_79685.pdf,Quote,True,--
79685,3Tech Innovation Master Corp,s3://ml-legal-restricted/contract-docs/79685/Dynamics_79685_signed.pdf,Dynamics_79685_signed.pdf,Quote,True,--
76460,3Tech Innovation Master Corp,s3://ml-legal-restricted/contract-docs/76460/3Tech - Cisco Switch for 16th Floor - Philippines - Aug-29-2024.pdf,3Tech - Cisco Switch for 16th Floor - Philippines - Aug-29-2024.pdf,Quote,True,--
76462,3Tech Innovation Master Corp,"s3://ml-legal-restricted/contract-docs/76462/3Tech Quotation-Manila-May6_Cotiviti Philippines, Inc.  (AR.09.05.2024)-signed.pdf","3Tech Quotation-Manila-May6_Cotiviti Philippines, Inc.  (AR.09.05.2024)-signed.pdf",Quote,True,--
76466,3Tech Innovation Master Corp,s3://ml-legal-restricted/contract-docs/76466/Quote - 3Tech- Laptop & IT accessories purchase - Cotiviti Philippines Inc - April-17-2024.pdf,Quote - 3Tech- Laptop & IT accessories purchase - Cotiviti Philippines Inc - April-17-2024.pdf,Quote,True,--
