contract_number,account_name,s3_full_path,file_name,doc_type,s3_vectors,opensearch,status_reason,contract_title,contract_requester,reviewing_attorney,created_on,document_effective_date,account_type,parent_contract,solution_line,sharepoint_document_url,related_product,document_title
52202,1199 SEIU National Benefit Funds,s3://ml-legal-restricted/contract-docs/52202/1199 BAA (Final Rule) 9-22-14.pdf,1199 BAA (Final Rule) 9-22-14.pdf,BAA,True,--,Fully-Executed/Complete,1199 SEIU- BAA 2 to MSA 3 (52376),Dynamics SVC,Ellen Darby,2018-05-09,2014-09-22,Client,52376.0,Payment Accuracy,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/52202/1199 BAA (Final Rule) 9-22-14.pdf,STARSSolution,1199 SEIU National Benefit Fund Business Associate Agreement
67392,24slides,s3://ml-legal-restricted/contract-docs/67392/Dynamics_-_67392_signed.pdf,Dynamics_-_67392_signed.pdf,NDA,True,--,Fully-Executed/Complete,NDA Request,David Lewis,Mahalakshmi Vyakaranam,2022-01-31,2022-02-10,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/67392/Dynamics_-_67392_signed.pdf,,
76594,24x7 Translines,s3://ml-legal-restricted/contract-docs/76594/Q - 24-7 - Translines (Oct 14 2019).pdf,Q - 24-7 - Translines (Oct 14 2019).pdf,Quote,True,--,Fully-Executed/Complete,Rate Card,Dynamics SVC,Adam Speer,2025-01-10,2019-10-14,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76594/Q - 24-7 - Translines (Oct 14 2019).pdf,,Rate Card
76595,24x7 Translines,s3://ml-legal-restricted/contract-docs/76595/SA - 24-7 - Translines (Oct 14 2019).pdf,SA - 24-7 - Translines (Oct 14 2019).pdf,MSA,True,--,Fully-Executed/Complete,Service Agreement,Dynamics SVC,Adam Speer,2025-01-10,2019-05-07,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76595/SA - 24-7 - Translines (Oct 14 2019).pdf,,Service Agreement
76438,3M Australia Pty Ltd,s3://ml-legal-restricted/contract-docs/76438/3M License Agreement_Lorica Health_Codefinder_GPCS_ 29th March 2023 to 28th March 2026_Final.pdf,3M License Agreement_Lorica Health_Codefinder_GPCS_ 29th March 2023 to 28th March 2026_Final.pdf,MSA,--,--,Fully-Executed/Complete,MASTER SOFTWARE AND SERVICES AGREEMENT,Dynamics SVC,Adam Speer,2025-01-10,2023-03-29,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76438/3M License Agreement_Lorica Health_Codefinder_GPCS_ 29th March 2023 to 28th March 2026_Final.pdf,,MASTER SOFTWARE AND SERVICES AGREEMENT
76440,3M Australia Pty Ltd,s3://ml-legal-restricted/contract-docs/76440/LORICA HEALTH CODEFINDER & GROUPER 29 DEC 2020 TO 28 JAN 2023 CONTRACT.pdf,LORICA HEALTH CODEFINDER & GROUPER 29 DEC 2020 TO 28 JAN 2023 CONTRACT.pdf,Letter,True,--,Fully-Executed/Complete,EXTENSION OF 3M™ CODEFINDER & GPCS SOFTWARE CONTRACT,Dynamics SVC,Adam Speer,2025-01-10,2022-12-09,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76440/LORICA HEALTH CODEFINDER & GROUPER 29 DEC 2020 TO 28 JAN 2023 CONTRACT.pdf,,EXTENSION OF 3M™ CODEFINDER & GPCS SOFTWARE CONTRACT
76439,3M Australia Pty Ltd,s3://ml-legal-restricted/contract-docs/76439/Extension of Contract Letter_Codefinder & GPCS_Lorica Health_Oct-Dec 2022_signed.pdf,Extension of Contract Letter_Codefinder & GPCS_Lorica Health_Oct-Dec 2022_signed.pdf,Letter,True,--,Fully-Executed/Complete,EXTENSION OF 3M™ CODEFINDER & GPCS SOFTWARE CONTRACT,Dynamics SVC,Adam Speer,2025-01-10,2022-09-05,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76439/Extension of Contract Letter_Codefinder & GPCS_Lorica Health_Oct-Dec 2022_signed.pdf,,EXTENSION OF 3M™ CODEFINDER & GPCS SOFTWARE CONTRACT
76437,3M Australia Pty Ltd,s3://ml-legal-restricted/contract-docs/76437/LORICA HEALTH CODEFINDER & GROUPER 29 SEP 2020 TO 28 SEP 2022 CONTRACT.pdf,LORICA HEALTH CODEFINDER & GROUPER 29 SEP 2020 TO 28 SEP 2022 CONTRACT.pdf,MSA,True,--,Fully-Executed/Complete,MASTER SOFTWARE AND SERVICES AGREEMENT,Dynamics SVC,Adam Speer,2025-01-10,2020-06-15,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76437/LORICA HEALTH CODEFINDER & GROUPER 29 SEP 2020 TO 28 SEP 2022 CONTRACT.pdf,,MASTER SOFTWARE AND SERVICES AGREEMENT
60591,3M Company,s3://ml-legal-restricted/contract-docs/60591/CTR55948-20 S9A-1a1 AddOn 56178 v1 10.6.2020 MJG.pdf,CTR55948-20 S9A-1a1 AddOn 56178 v1 10.6.2020 MJG.pdf,Amendment,True,--,Fully-Executed/Complete,Amendment 1. to Master Software and Services Agreement,Matthew Regan,Mahalakshmi Vyakaranam,2020-10-27,2020-10-28,Vendor,60590.0,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/60591/CTR55948-20 S9A-1a1 AddOn 56178 v1 10.6.2020 MJG.pdf,,
60590,3M Company,s3://ml-legal-restricted/contract-docs/60590/Coviti_CTR55948-20_NEW_3_Year_v6_MJG_9.8.2020_EK.pdf,Coviti_CTR55948-20_NEW_3_Year_v6_MJG_9.8.2020_EK.pdf,MSA,--,--,Fully-Executed/Complete,Master Software and Services Agreement_10-Sep-2020,Matthew Regan,Adam Speer,2020-10-27,2020-09-10,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/60590/Coviti_CTR55948-20_NEW_3_Year_v6_MJG_9.8.2020_EK.pdf,,
76555,"3M Health Information System, Inc.",s3://ml-legal-restricted/contract-docs/76555/RDPA56183-20 New 3yr. GPCS.Trans v.6 SIGNED.pdf,RDPA56183-20 New 3yr. GPCS.Trans v.6 SIGNED.pdf,MSA,True,--,Fully-Executed/Complete,Regulatory Development Partner Agreement,Dynamics SVC,Adam Speer,2025-01-10,2020-12-02,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76555/RDPA56183-20 New 3yr. GPCS.Trans v.6 SIGNED.pdf,,Regulatory Development Partner Agreement
76554,"3M Health Information System, Inc.",s3://ml-legal-restricted/contract-docs/76554/NEGO BPA55989-20 New 3yr. GPCS v.5 FINAL.pdf,NEGO BPA55989-20 New 3yr. GPCS v.5 FINAL.pdf,MSA,True,--,Fully-Executed/Complete,Business Partner Agreement,Dynamics SVC,Adam Speer,2025-01-10,2020-05-06,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76554/NEGO BPA55989-20 New 3yr. GPCS v.5 FINAL.pdf,,Business Partner Agreement
79685,3Tech Innovation Master Corp,s3://ml-legal-restricted/contract-docs/79685/3Tech - Cotiviti - Quote - AR - 05292025 - Dynamics_79685.pdf,3Tech - Cotiviti - Quote - AR - 05292025 - Dynamics_79685.pdf,Quote,True,--,Fully-Executed/Complete,3Tech - laptop Purchase- Manila - 5.26.25,Vinay Chintakuntla,Altaf Rather,2025-05-26,2025-05-27,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/79685/3Tech - Cotiviti - Quote - AR - 05292025 - Dynamics_79685.pdf,,QUOTATION
76460,3Tech Innovation Master Corp,s3://ml-legal-restricted/contract-docs/76460/3Tech - Cisco Switch for 16th Floor - Philippines - Aug-29-2024.pdf,3Tech - Cisco Switch for 16th Floor - Philippines - Aug-29-2024.pdf,Quote,True,--,Fully-Executed/Complete,Quote,Dynamics SVC,Adam Speer,2025-01-10,2024-09-03,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76460/3Tech - Cisco Switch for 16th Floor - Philippines - Aug-29-2024.pdf,,Quote
76462,3Tech Innovation Master Corp,"s3://ml-legal-restricted/contract-docs/76462/3Tech Quotation-Manila-May6_Cotiviti Philippines, Inc.  (AR.09.05.2024)-signed.pdf","3Tech Quotation-Manila-May6_Cotiviti Philippines, Inc.  (AR.09.05.2024)-signed.pdf",Quote,True,--,Fully-Executed/Complete,Quote,Dynamics SVC,Adam Speer,2025-01-10,2024-05-06,Vendor,,,"https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76462/3Tech Quotation-Manila-May6_Cotiviti Philippines, Inc.  (AR.09.05.2024)-signed.pdf",,Quote
76466,3Tech Innovation Master Corp,s3://ml-legal-restricted/contract-docs/76466/Quote - 3Tech- Laptop & IT accessories purchase - Cotiviti Philippines Inc - April-17-2024.pdf,Quote - 3Tech- Laptop & IT accessories purchase - Cotiviti Philippines Inc - April-17-2024.pdf,Quote,True,--,Fully-Executed/Complete,Quote,Dynamics SVC,Adam Speer,2025-01-10,2024-04-15,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76466/Quote - 3Tech- Laptop & IT accessories purchase - Cotiviti Philippines Inc - April-17-2024.pdf,,Quote
76465,3Tech Innovation Master Corp,s3://ml-legal-restricted/contract-docs/76465/Quote - 3Tech- LAN cables Purchase - Cotiviti Philippines Inc - April-17-2024.pdf,Quote - 3Tech- LAN cables Purchase - Cotiviti Philippines Inc - April-17-2024.pdf,Quote,True,--,Fully-Executed/Complete,Quote,Dynamics SVC,Adam Speer,2025-01-10,2024-04-12,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76465/Quote - 3Tech- LAN cables Purchase - Cotiviti Philippines Inc - April-17-2024.pdf,,Quote
76463,3Tech Innovation Master Corp,s3://ml-legal-restricted/contract-docs/76463/ADP Quotation-Feb13_Legal edits (AR.02.22.2024).pdf,ADP Quotation-Feb13_Legal edits (AR.02.22.2024).pdf,Quote,True,--,Fully-Executed/Complete,Quote,Dynamics SVC,Adam Speer,2025-01-10,2024-02-13,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76463/ADP Quotation-Feb13_Legal edits (AR.02.22.2024).pdf,,Quote
76461,3Tech Innovation Master Corp,s3://ml-legal-restricted/contract-docs/76461/3Tech Quotation-Cotiviti-Jan9 _Legal edits (AR.01.11.2024).pdf,3Tech Quotation-Cotiviti-Jan9 _Legal edits (AR.01.11.2024).pdf,Quote,True,--,Fully-Executed/Complete,Quote,Dynamics SVC,Adam Speer,2025-01-10,2024-01-09,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76461/3Tech Quotation-Cotiviti-Jan9 _Legal edits (AR.01.11.2024).pdf,,Quote
76464,3Tech Innovation Master Corp,s3://ml-legal-restricted/contract-docs/76464/Purchase_Agreement_-_3Tech_Innovation_Corp_Philippines_Cotiviti_Philippines_Inc_Ready_for_signature_.pdf,Purchase_Agreement_-_3Tech_Innovation_Corp_Philippines_Cotiviti_Philippines_Inc_Ready_for_signature_.pdf,MSA,True,--,Fully-Executed/Complete,Product Purchase Agreement,Dynamics SVC,Adam Speer,2025-01-10,2023-09-23,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76464/Purchase_Agreement_-_3Tech_Innovation_Corp_Philippines_Cotiviti_Philippines_Inc_Ready_for_signature_.pdf,,Product Purchase Agreement
73385,7-Eleven,s3://ml-legal-restricted/contract-docs/73385/7-Eleven - Cotiviti  - NDA - MS -  11152023 - Dynamics_73385.pdf,7-Eleven - Cotiviti  - NDA - MS -  11152023 - Dynamics_73385.pdf,NDA,True,--,Fully-Executed/Complete,7-Eleven MNDA,Ashley King,Manisha Sen,2023-11-13,2023-11-14,Client,,Retail,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/73385/7-Eleven - Cotiviti  - NDA - MS -  11152023 - Dynamics_73385.pdf,GFR,CONFIDENTIALITY AND NON-DISCLOSURE AGREEMENT
63286,8x8,s3://ml-legal-restricted/contract-docs/63286/Dynamics_-_63286_signed.pdf,Dynamics_-_63286_signed.pdf,Other,True,--,Fully-Executed/Complete,Cotiviti Project Acceptance.pdf,Terri Cooke,Mahalakshmi Vyakaranam,2021-11-15,2021-11-22,Vendor,61282.0,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/63286/Dynamics_-_63286_signed.pdf,,
63015,8x8,s3://ml-legal-restricted/contract-docs/63015/Dynamics_-_63015_signed.pdf,Dynamics_-_63015_signed.pdf,Quote,True,--,Fully-Executed/Complete,O-00333727 Cotiviti,Terri Cooke,Mahalakshmi Vyakaranam,2021-10-14,2021-04-02,Vendor,61282.0,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/63015/Dynamics_-_63015_signed.pdf,,
61232,8x8,s3://ml-legal-restricted/contract-docs/61232/8x8 - Cotiviti - Other - SK - 02122021 - Dynamics_61232.pdf,8x8 - Cotiviti - Other - SK - 02122021 - Dynamics_61232.pdf,Other,True,--,Fully-Executed/Complete,Evaluation Agreement (3-4-2019) (2),Terri Cooke,Swapnil Kumari,2021-02-09,2021-02-12,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/61232/8x8 - Cotiviti - Other - SK - 02122021 - Dynamics_61232.pdf,,EVALUATION AGREEMENT
61096,8x8,s3://ml-legal-restricted/contract-docs/61096/8x8 - Cotiviti - NDA - SK - 01222021 - Dynamics_61096.pdf,8x8 - Cotiviti - NDA - SK - 01222021 - Dynamics_61096.pdf,NDA,True,--,Fully-Executed/Complete,Cotiviti Inc. - VENDOR MNDA_SP_Redlines_012021,Terri Cooke,Swapnil Kumari,2021-01-20,2021-01-22,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/61096/8x8 - Cotiviti - NDA - SK - 01222021 - Dynamics_61096.pdf,,MUTUAL NON-DISCLOSURE AGREEMENT
61098,"A-lign Compliance and Security, Inc.",s3://ml-legal-restricted/contract-docs/61098/Dynamics_-_61098_signed.pdf,Dynamics_-_61098_signed.pdf,NDA,True,--,Fully-Executed/Complete,MUTUAL NON-DISCLOSURE AGREEMENT (1/20/2021),Vinay Chintakuntla,Mahalakshmi Vyakaranam,2021-01-21,2021-01-20,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/61098/Dynamics_-_61098_signed.pdf,,
76596,A. Venkatesh,s3://ml-legal-restricted/contract-docs/76596/Invoice - Venkatesh Legal Opinion - (Sept 05 2019).pdf,Invoice - Venkatesh Legal Opinion - (Sept 05 2019).pdf,Letter,True,--,Fully-Executed/Complete,Letter,Dynamics SVC,Adam Speer,2025-01-10,2019-09-05,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76596/Invoice - Venkatesh Legal Opinion - (Sept 05 2019).pdf,,Letter
74729,AAPC,s3://ml-legal-restricted/contract-docs/74729/American Academy Holdings - Cotiviti - MSA - MV - 08022024 - Dynamics_74729.pdf,American Academy Holdings - Cotiviti - MSA - MV - 08022024 - Dynamics_74729.pdf,MSA,True,--,Fully-Executed/Complete,Professional Medical Coding Instructor License,Brandi Sloots,Mahalakshmi Vyakaranam,2024-05-15,2024-07-12,Vendor,,,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/74729/American Academy Holdings - Cotiviti - MSA - MV - 08022024 - Dynamics_74729.pdf,,Instructor License Agreement
