contract_number,s3_full_path,account_name,doc_type,status_reason,contract_title,contract_requester,reviewing_attorney,created_on,document_effective_date,parent_contract,solution_line,account_type,sharepoint_document_url,document_title,related_product,matched_client,matched_pattern,file_name
80280,s3://ml-legal-restricted/contract-docs/80280/Elevance - Cotiviti - AMD 5 to SOW 6 - MS - 06032025 - Dynamics_80280.pdf,"Anthem, Inc (WellPoint, Inc.)",Amendment,Fully-Executed/Complete,Amd 5 to SOW 6 -expand lag time to 365 days,Melissa Christensen,Melissa Syracuse,2025-06-09 14:44:23,2025-06-03,55821,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/80280/Elevance - Cotiviti - AMD 5 to SOW 6 - MS - 06032025 - Dynamics_80280.pdf,"AMENDMENT # 5 TO THE STATEMENT OF WORK #6 BETWEEN ELEVANCE HEALTH, INC. AND COTIVITI, LLC",Data Mining,Anthem/Elevance,\b(anthem|elevance)\b,Elevance - Cotiviti - AMD 5 to SOW 6 - MS - 06032025 - Dynamics_80280.pdf
79702,s3://ml-legal-restricted/contract-docs/79702/Humana - Cotiviti - Amendment 2 - JK - 05302025 - Dynamics_79702.pdf,Humana,Amendment,Fully-Executed/Complete,Humana - DCI - One Month Extension (June 2025),Matt Collins,Jeffrey Koslowski,2025-05-27 12:56:41,2025-05-31,8017,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/79702/Humana - Cotiviti - Amendment 2 - JK - 05302025 - Dynamics_79702.pdf,Amendment 012 To Schedule 004 to the Master Services Agreement Dental Claim Accuracy Services,Dental Claims Accuracy,Humana,\bhumana\b,Humana - Cotiviti - Amendment 2 - JK - 05302025 - Dynamics_79702.pdf
78478,s3://ml-legal-restricted/contract-docs/78478/EHI - Cotiviti - AMD 4 - MS - 05202025 - Dynamics_78478.pdf,"Anthem, Inc (WellPoint, Inc.)",Amendment,Fully-Executed/Complete,Amd 4 to SOW 6 -Elevance RCA Tiered Structure Amendment,Melissa Christensen,Melissa Syracuse,2025-02-20 19:36:30,2025-05-20,55821,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/78478/EHI - Cotiviti - AMD 4 - MS - 05202025 - Dynamics_78478.pdf,"AMENDMENT # 4 TO THE STATEMENT OF WORK #6 BETWEEN ELEVANCE HEALTH, INC. AND COTIVITI, LLC",Data Mining,Anthem/Elevance,\b(anthem|elevance)\b,EHI - Cotiviti - AMD 4 - MS - 05202025 - Dynamics_78478.pdf
79081,s3://ml-legal-restricted/contract-docs/79081/HMK - Cotiviti - AMD40 - DM - 05192025 - Dynamics_ 79081.pdf,Highmark Blue Cross Blue Shield,Amendment,Fully-Executed/Complete,Highmark-QI- PA CHIP and Standard Extract Measures,Carla Galisin,Drew Mattern,2025-05-05 14:08:39,2025-05-19,6266,Quality Improvement,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/79081/HMK - Cotiviti - AMD40 - DM - 05192025 - Dynamics_ 79081.pdf,"Amendment #40 to the Cotiviti, Inc. Software License Agreement",Quality Intelligence,Highmark,\bhighmark\b,HMK - Cotiviti - AMD40 - DM - 05192025 - Dynamics_ 79081.pdf
78985,s3://ml-legal-restricted/contract-docs/78985/VNSNY Choice - Cotiviti -  Amendment 5 - DM - 05212025 - Dynamics_78985.pdf,VNSNY Choice,Amendment,Fully-Executed/Complete,AMD 5 to MSA 1 Offshore provision,Ameet Jackson,Drew Mattern,2025-04-23 15:35:54,2025-05-19,53731,Risk Adjustment,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/78985/VNSNY Choice - Cotiviti -  Amendment 5 - DM - 05212025 - Dynamics_78985.pdf,"AMENDMENT #5 TO VIPSConnect SERVICES AGREEMENT BETWEEN VNS CHOICE d/b/a VNS HEALTH HEALTH PLANS AND COTIVITI, INC.",Medicare Adv. Coding,,,VNSNY Choice - Cotiviti -  Amendment 5 - DM - 05212025 - Dynamics_78985.pdf
78487,s3://ml-legal-restricted/contract-docs/78487/Elevance Health - Cotiviti - AMD10 - DM - 05192025 - Dynamics_78487.pdf,"Anthem, Inc (WellPoint, Inc.)",Amendment,Fully-Executed/Complete,Elevance-Cotiviti Consolidated Contracts v2,Angie Sirani,Drew Mattern,2025-02-21 21:33:08,2025-05-19,3534,Quality Improvement,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/78487/Elevance Health - Cotiviti - AMD10 - DM - 05192025 - Dynamics_78487.pdf,Amendment #10 To Master Software License Agreement (TIE#-10378),Quality Intelligence,Anthem/Elevance,\b(anthem|elevance)\b,Elevance Health - Cotiviti - AMD10 - DM - 05192025 - Dynamics_78487.pdf
78472,s3://ml-legal-restricted/contract-docs/78472/VNS CHOICE - Cotiviti - SOW 5 - DM - 05212025 - Dynamics_78472.pdf,VNSNY Choice,SOW,Fully-Executed/Complete,SOW 5 VNSNY: Risk Retrieval dropped and updated Abstraction Vol,Ameet Jackson,Drew Mattern,2025-02-20 14:53:47,2025-05-19,53731,Risk Adjustment,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/78472/VNS CHOICE - Cotiviti - SOW 5 - DM - 05212025 - Dynamics_78472.pdf,Statement of Work #5 For Risk Adjustment,Medicare Adv. Coding,,,VNS CHOICE - Cotiviti - SOW 5 - DM - 05212025 - Dynamics_78472.pdf
76401,s3://ml-legal-restricted/contract-docs/76401/Aetna Life Insurance Company - Cotiviti - CO3  - TE - 05162025 - Dynamics_76401.pdf,Aetna Life Insurance Company,Work Order / Change Request,Fully-Executed/Complete,Aetna - Change Order_Add LOB ABHOK to AECONMAN,Mareah Patalano,Timothy Ellebracht,2025-01-06 20:49:30,2025-05-16,63526,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/76401/Aetna Life Insurance Company - Cotiviti - CO3  - TE - 05162025 - Dynamics_76401.pdf,CHANGE ORDER FOR ELIZA® SERVICES,Eliza Standard,Aetna,\baetna\b,Aetna Life Insurance Company - Cotiviti - CO3  - TE - 05162025 - Dynamics_76401.pdf
78773,s3://ml-legal-restricted/contract-docs/78773/Humana - Cotiviti - Schedule 017 - DM - 05192025 - Dynamics_78773.pdf,Humana,SOW,Fully-Executed/Complete,Humana EMR Risk Retrieval - Interoperability,Richard Thomas,Drew Mattern,2025-03-27 17:30:06,2025-05-15,8543,Risk Adjustment,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/78773/Humana - Cotiviti - Schedule 017 - DM - 05192025 - Dynamics_78773.pdf,Schedule 017 A-EMR Retrieval Services,RA - Medical Record Retrieval,Humana,\bhumana\b,Humana - Cotiviti - Schedule 017 - DM - 05192025 - Dynamics_78773.pdf
78632,s3://ml-legal-restricted/contract-docs/78632/BCBS Michigan - Cotiviti - Termination - AM - 05152025 - Dynamics_78632.docx,Blue Cross and Blue Shield of Michigan,Termination,Fully-Executed/Complete,BCBSMI termination for enhanced phone append,Moira Hubbard,Angelica Miranda,2025-03-10 20:50:28,2025-05-15,70767,Population Health Management,Client,https://cotiviti.sharepoint.com/:w:/r/sites/crmdocs/_layouts/15/Doc.aspx?sourcedoc=%7B74D82EE7-1CFE-467A-A94A-90A794A27F1C%7D&file=BCBS%20Michigan%20-%20Cotiviti%20-%20Termination%20-%20AM%20-%2005152025%20-%20Dynamics_78632.docx&action=view&mobileredirect=true,TERMINATION SUMMARY,Eliza Standard,BCBS Michigan,\b(blue\s*cross\s*(and\s*)?blue\s*shield\s*of\s*michigan|bcbsm)\b,BCBS Michigan - Cotiviti - Termination - AM - 05152025 - Dynamics_78632.docx
78945,s3://ml-legal-restricted/contract-docs/78945/Kaiser Permanente - Cotiviti - Change Order 3 - MS - 05142025 - Dynamics_78945.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,CO #3 Kaiser WA RCCV RCA CO to Add Funds 2025,Mary Srinivas,Melissa Syracuse,2025-04-17 14:30:54,2025-05-14,58107,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/78945/Kaiser Permanente - Cotiviti - Change Order 3 - MS - 05142025 - Dynamics_78945.pdf,CHANGE ORDER,Retrospective Clinical Chart Validation,Kaiser,\bkaiser(\s+permanente)?\b,Kaiser Permanente - Cotiviti - Change Order 3 - MS - 05142025 - Dynamics_78945.pdf
79067,s3://ml-legal-restricted/contract-docs/79067/CVS PHARMACY - Cotiviti - AMD 35 - JK - 06252025 - Dynamics_79067.pdf,Aetna Life Insurance Company,Amendment,Fully-Executed/Complete,Aetna - HRP PBTE test environment,Amanda Tramonte,Jeffrey Koslowski,2025-05-02 15:34:08,2025-05-08,55235,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/79067/CVS PHARMACY - Cotiviti - AMD 35 - JK - 06252025 - Dynamics_79067.pdf,"AMENDMENT No. 35 TO HEALTH CARE TECHNOLOGY SERVICES AGREEMENT BY AND BETWEEN AETNA LIFE INSURANCE COMPANY AND COTIVITI, INC.",Payment Policy Management,Aetna,\baetna\b,CVS PHARMACY - Cotiviti - AMD 35 - JK - 06252025 - Dynamics_79067.pdf
75581,s3://ml-legal-restricted/contract-docs/75581/Elevence - Cotiviti - WO 12 - DM - 05072025 - Dynamics_75581.pdf,"Anthem, Inc (WellPoint, Inc.)",Work Order / Change Request,Fully-Executed/Complete,Elevance - Cotiviti - WO #12 to Restated Order Schedule #1 - WA Custom Measures,Angie Sirani,Drew Mattern,2024-09-08 21:45:40,2025-05-07,21166,Quality Improvement,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/75581/Elevence - Cotiviti - WO 12 - DM - 05072025 - Dynamics_75581.pdf,WORK ORDER #12,Quality Intelligence,Anthem/Elevance,\b(anthem|elevance)\b,Elevence - Cotiviti - WO 12 - DM - 05072025 - Dynamics_75581.pdf
78873,s3://ml-legal-restricted/contract-docs/78873/Kaiser Permanente - Cotiviti - Termination - MS - 05012025 - Dynamics_78873.pdf,Kaiser Permanente,Termination,Fully-Executed/Complete,Term Summary Kaiser WA_RCA COB Contract Termination,Mary Srinivas,Melissa Syracuse,2025-04-09 19:37:23,2025-05-01,73544,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/78873/Kaiser Permanente - Cotiviti - Termination - MS - 05012025 - Dynamics_78873.pdf,Termination Summary - Kaiser COB WA,Retrospective COB Validation,Kaiser,\bkaiser(\s+permanente)?\b,Kaiser Permanente - Cotiviti - Termination - MS - 05012025 - Dynamics_78873.pdf
78884,s3://ml-legal-restricted/contract-docs/78884/Dynamics_78884_signed.pdf,Kaiser Permanente of Hawaii,Amendment,Fully-Executed/Complete,Kaiser- Hawaii-State Measures for MY24,Carla Galisin,Drew Mattern,2025-04-10 22:04:32,2025-04-30,61955,Quality Improvement,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/78884/Dynamics_78884_signed.pdf,Amendment #5 To Statement of Work #4 for Quality Improvement,Quality Intelligence,Kaiser,\bkaiser(\s+permanente)?\b,Dynamics_78884_signed.pdf
79066,s3://ml-legal-restricted/contract-docs/79066/Blue Cross and Blue Shield of Michigan - Cotiviti - Letter - JK - 06042025 - Dynamics_79066.pdf,Blue Cross and Blue Shield of Michigan,Letter,Fully-Executed/Complete,BCBSM - MAPPO 2024 PPM True Up,Rick Borzymowski,Jeffrey Koslowski,2025-05-02 14:57:57,2025-04-23,73011,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/79066/Blue Cross and Blue Shield of Michigan - Cotiviti - Letter - JK - 06042025 - Dynamics_79066.pdf,Letter,Payment Policy Management,BCBS Michigan,\b(blue\s*cross\s*(and\s*)?blue\s*shield\s*of\s*michigan|bcbsm)\b,Blue Cross and Blue Shield of Michigan - Cotiviti - Letter - JK - 06042025 - Dynamics_79066.pdf
79064,s3://ml-legal-restricted/contract-docs/79064/BCBSMI - Cotiviti - Letter - JK - 06042025 - Dynamics_79064.pdf,Blue Cross and Blue Shield of Michigan,Letter,Fully-Executed/Complete,BCBSM - BCN 2024 PPM True Up,Rick Borzymowski,Jeffrey Koslowski,2025-05-02 14:53:16,2025-04-23,73010,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/79064/BCBSMI - Cotiviti - Letter - JK - 06042025 - Dynamics_79064.pdf,"April 23, 2025",Payment Policy Management,BCBS Michigan,\b(blue\s*cross\s*(and\s*)?blue\s*shield\s*of\s*michigan|bcbsm)\b,BCBSMI - Cotiviti - Letter - JK - 06042025 - Dynamics_79064.pdf
79063,s3://ml-legal-restricted/contract-docs/79063/BCBSM - Cotiviti - Letter - JK - 04232025 - Dynamics_79063.pdf,Blue Cross and Blue Shield of Michigan,Letter,Fully-Executed/Complete,BCBSM - CommPPO 2024 PPM True Up,Rick Borzymowski,Jeffrey Koslowski,2025-05-02 14:46:30,2025-04-23,73009,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/79063/BCBSM - Cotiviti - Letter - JK - 04232025 - Dynamics_79063.pdf,Letter,Payment Policy Management,BCBS Michigan,\b(blue\s*cross\s*(and\s*)?blue\s*shield\s*of\s*michigan|bcbsm)\b,BCBSM - Cotiviti - Letter - JK - 04232025 - Dynamics_79063.pdf
79553,s3://ml-legal-restricted/contract-docs/79553/KFHP - Cotiviti -  CO3 - MS - 06022025 - Dynamics_79553.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,CO #3 Kaiser Washington PCCV 2025,Mary Srinivas,Melissa Syracuse,2025-05-20 20:25:22,2025-04-22,62871,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/79553/KFHP - Cotiviti -  CO3 - MS - 06022025 - Dynamics_79553.pdf,CHANGE ORDER,Prospective Clinical Chart Validation,Kaiser,\bkaiser(\s+permanente)?\b,KFHP - Cotiviti -  CO3 - MS - 06022025 - Dynamics_79553.pdf
78967,s3://ml-legal-restricted/contract-docs/78967/BCBSM - Cotiviti - Security Questionnaire - JK - 04222025 - Dynamics_78967.pdf,Blue Cross and Blue Shield of Michigan,Other,Fully-Executed/Complete,BCBSM - Client Policy Repository Security Review (2024/2025),Rick Borzymowski,Jeffrey Koslowski,2025-04-21 16:20:06,2025-04-22,71672,Payment Accuracy,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/78967/BCBSM - Cotiviti - Security Questionnaire - JK - 04222025 - Dynamics_78967.pdf,Security Questionnaire - Cotiviti Email,Payment Policy Management,BCBS Michigan,\b(blue\s*cross\s*(and\s*)?blue\s*shield\s*of\s*michigan|bcbsm)\b,BCBSM - Cotiviti - Security Questionnaire - JK - 04222025 - Dynamics_78967.pdf
78965,s3://ml-legal-restricted/contract-docs/78965/Dynamics_78965_signed.pdf,United HealthCare Services,Work Order / Change Request,Fully-Executed/Complete,UHS - CO 1 to SOW 300 - Script Updates,Patrick Murphy,Timothy Ellebracht,2025-04-21 15:38:16,2025-04-22,74588,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/78965/Dynamics_78965_signed.pdf,ELIZA® SERVICES CHANGE ORDER FORM Cotiviti Internal Contract Repository/Reference # 78965,Eliza Standard,United,\b(united\s*health( ?care)?|unitedhealth(group)?|uhc)\b,Dynamics_78965_signed.pdf
78950,s3://ml-legal-restricted/contract-docs/78950/KFHP - Cotiviti - WO - TE - 04172025 - Dynamics_78950.pdf,Kaiser Permanente,Work Order / Change Request,Fully-Executed/Complete,[KAISER PERMANENTE]- CO to SOW 76066,Ashminee Dewdat,Timothy Ellebracht,2025-04-17 16:48:56,2025-04-18,76066,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/78950/KFHP - Cotiviti - WO - TE - 04172025 - Dynamics_78950.pdf,Work order form Cotiviti Inc. Outreach and Engagement for Member Engagement and Retention Campaigns 2025 - 26,Eliza Standard,Kaiser,\bkaiser(\s+permanente)?\b,KFHP - Cotiviti - WO - TE - 04172025 - Dynamics_78950.pdf
78828,s3://ml-legal-restricted/contract-docs/78828/UHCS - Cotiviti - CO 5 to SOW 251 - TE- 04182025 - Dynamics_78828.pdf,United HealthCare Services,Work Order / Change Request,Fully-Executed/Complete,United - CO 5 to SOW 251 - Healthplex Dental - Change Connect Logic,Laura Owen,Timothy Ellebracht,2025-04-02 21:50:24,2025-04-18,63346,Population Health Management,Client,https://cotiviti.sharepoint.com/sites/crmdocs/avtx_legalcontract/78828/UHCS - Cotiviti - CO 5 to SOW 251 - TE- 04182025 - Dynamics_78828.pdf,ELIZA® SERVICES CHANGE ORDER FORM Cotiviti Internal Contract Repository/Reference # 78828,Eliza Standard,United,\b(united\s*health( ?care)?|unitedhealth(group)?|uhc)\b,UHCS - Cotiviti - CO 5 to SOW 251 - TE- 04182025 - Dynamics_78828.pdf
